"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"TFSC","1347 Capital Corp.","9.85","$58.59M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc"
"TFSCR","1347 Capital Corp.","0.1976","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr"
"TFSCU","1347 Capital Corp.","10.05","$42.01M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu"
"TFSCW","1347 Capital Corp.","0.179","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw"
"PIH","1347 Property Insurance Holdings, Inc.","6.556","$40.54M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih"
"FLWS","1-800 FLOWERS.COM, Inc.","7.52","$487.76M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws"
"FCTY","1st Century Bancshares, Inc","8.9","$91.86M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty"
"FCCY","1st Constitution Bancorp (NJ)","11.62","$92.08M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","29.12","$759.51M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","18.18","$1.58B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","17.26","$786.65M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","27.53","$1.62B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs"
"SIXD","6D Global Technologies, Inc.","2.9","$226.92M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd"
"CAFD","8point3 Energy Partners LP","16.2","$1.15B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","11.62","$1.04B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","9.33","$208.47M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","23.11","$677.08M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","20.21","$1.09B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","41.58","$944.57M","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"ABY","Abengoa Yield plc","16.93","$1.7B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby"
"ABGB","Abengoa, S.A.","0.988","$181.95M","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb"
"ABEO","Abeona Therapeutics Inc.","2.4","$78.56M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","0.7303","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","7.22","$76.06M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil"
"ABILW","Ability Inc.","0.89","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abilw"
"ABMD","ABIOMED, Inc.","81.53","$3.46B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","0.9273","$98.61M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas"
"ACTG","Acacia Research Corporation","3.62","$183.67M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","58.96","$4.23B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","19.36","$1.95B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","1.5799","$16.84M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","12.69","$567.74M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx"
"XLRN","Acceleron Pharma Inc.","26.59","$884.2M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","16.53","$174.29M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","5.34","$426.51M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray"
"VXDN","AccuShares Spot CBOE VIX Down Shares","15.774","$6.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxdn"
"VXUP","AccuShares Spot CBOE VIX Up Shares","11.98","$509150","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxup"
"ACRX","AcelRx Pharmaceuticals, Inc.","3.52","$156.45M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx"
"ACET","Aceto Corporation","20.34","$600.07M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet"
"AKAO","Achaogen, Inc.","3.8","$69.75M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao"
"ACHN","Achillion Pharmaceuticals, Inc.","6.32","$862.96M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn"
"ACIW","ACI Worldwide, Inc.","16.63","$1.97B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw"
"ACRS","Aclaris Therapeutics, Inc.","21.54","$434.19M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs"
"ACNB","ACNB Corporation","21.83","$131.74M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb"
